row_id,ring_id,date_first_seen,lat_birth,lon_birth,area_km2,date_last_seen,lat_death,lon_death,duplicate_ring_id_flag,duplicate_group_size,lifetime_days,birth_year,birth_month,death_year,death_month,delta_lat,delta_lon,radius_equiv_km,displacement_km,bearing_birth_to_death,birth_region,death_region,record_status
1,WE19800304A,1980-03-04,41.11,-56.48,9558.13,1980-04-29,40.39,-60.28,False,1,56.0,1980,3,1980.0,4.0,-0.7199999999999989,-3.8000000000000043,55.15838351900711,329.93170019142747,257.20345023537124,,,complete
2,WE19800311B,1980-03-11,40.57,-66.42,4075.78,1980-07-23,41.43,-62.57,False,1,134.0,1980,3,1980.0,7.0,0.8599999999999994,3.8500000000000014,36.01889876037537,336.9121246701623,72.25525561505145,,,complete
3,WE19800408C,1980-04-08,40.17,-64.28,14646.08,1980-09-17,39.26,-69.11,False,1,162.0,1980,4,1980.0,9.0,-0.9100000000000037,-4.829999999999998,68.27878190066583,425.2831441379251,257.7893231318448,,,complete
4,WE19800528D,1980-05-28,37.39,-73.86,3564.11,1980-07-09,37.01,-74.1,False,1,42.0,1980,5,1980.0,7.0,-0.38000000000000256,-0.23999999999999488,33.68221264178632,47.299687659931514,206.77829471955556,,,complete
5,WE19800528E,1980-05-28,39.28,-69.48,19268.43,1980-08-27,37.78,-72.56,False,1,91.0,1980,5,1980.0,8.0,-1.5,-3.0799999999999983,78.31559078651158,315.5637737064393,239.06195141230643,,,complete
6,WE19800528F,1980-05-28,41.74,-57.62,14967.72,1980-07-16,42.18,-58.45,False,1,49.0,1980,5,1980.0,7.0,0.4399999999999977,-0.8300000000000054,69.02443950971893,84.28291570004676,305.7619905855629,,,complete
7,WE19800604G,1980-06-04,40.29,-59.51,24620.95,1980-06-18,40.45,-59.75,False,1,14.0,1980,6,1980.0,6.0,0.1600000000000037,-0.240000000000002,88.52735053211974,27.017031289639277,311.2646149405569,,,complete
8,WE19800611H,1980-06-11,40.13,-62.84,10325.03,1981-04-22,38.09,-72.83,False,1,315.0,1980,6,1981.0,4.0,-2.039999999999999,-9.989999999999995,57.32851929139828,890.736896383263,258.4484228300497,,,complete
9,WE19800625I,1980-06-25,40.51,-57.47,22664.99,1980-08-27,41.05,-58.7,False,1,63.0,1980,6,1980.0,8.0,0.5399999999999991,-1.230000000000004,84.93815625063188,119.71130079675784,300.5050474145244,,,complete
10,WE19800806J,1980-08-06,40.44,-61.98,17802.92,1981-07-15,37.2,-74.13,False,1,343.0,1980,8,1981.0,7.0,-3.239999999999995,-12.149999999999999,75.27845268693513,1111.4273605646435,254.9922848149634,,,complete
11,WE19801006K,1980-10-06,40.54,-57.93,29994.21,1981-01-28,39.57,-58.94,False,1,114.0,1980,10,1981.0,1.0,-0.9699999999999989,-1.009999999999998,97.71107189706147,137.92241638238164,218.88058437262006,,,complete
12,WE19801020L,1980-10-20,39.52,-66.47,7518.28,1980-10-29,39.62,-66.46,False,1,9.0,1980,10,1980.0,10.0,0.09999999999999432,0.010000000000005116,48.9197593115284,11.152495399660088,4.404725936085015,,,complete
13,WE19801119M,1980-11-19,39.08,-65.89,23172.34,1980-12-31,39.96,-68.06,False,1,42.0,1980,11,1980.0,12.0,0.8800000000000026,-2.1700000000000017,85.8835543512965,210.27878841503343,298.4185713106359,,,complete
14,WE19801231N,1980-12-31,41.74,-59.76,10433.87,1981-01-28,40.95,-60.45,False,1,28.0,1980,12,1981.0,1.0,-0.7899999999999991,-0.6900000000000048,57.629887837444805,105.04395066193617,213.48187177812773,,,complete
